GJ Bailey,A Nehra,0.7142857143,0.1428571429,0,0,0.1428571429,0,0
SV Samson,HH Pandya,0,0.6666666667,0,0,0.3333333333,0,0
SK Raina,JP Duminy,0.3333333333,0.3333333333,0.3333333333,0,0,0,0
DJ Bravo,SR Watson,0.25,0.25,0,0,0.25,0,0.25
RG Sharma,RP Singh,0.25,0.25,0.25,0,0.25,0,0
SS Iyer,HH Pandya,0.5,0.25,0,0,0,0,0.25
UT Khawaja,B Kumar,0.3333333333,0.6666666667,0,0,0,0,0
R Bhatia,HV Patel,0,0.6666666667,0,0,0,0.3333333333,0
MJ Guptill,A Mishra,0.4444444444,0.4444444444,0,0,0.1111111111,0,0
KL Rahul,MJ McClenaghan,0.5416666667,0.0833333333,0.0416666667,0,0.125,0.1666666667,0.0416666667
V Kohli,TG Southee,0.5294117647,0.2941176471,0.0588235294,0,0.0588235294,0.0588235294,0
PA Patel,MG Johnson,0.4117647059,0.1176470588,0.0588235294,0,0.3529411765,0,0.0588235294
RG Sharma,JD Unadkat,0.375,0.375,0,0,0,0.25,0
KH Pandya,CH Morris,0.3333333333,0,0.3333333333,0,0,0,0.3333333333
DJ Bravo,KH Pandya,0.5,0.5,0,0,0,0,0
MC Henriques,DS Kulkarni,0.3333333333,0.3333333333,0,0,0.3333333333,0,0
V Kohli,Mustafizur Rahman,0.5,0.2,0.1,0,0.1,0.05,0.05
KL Rahul,KC Cariappa,0.3333333333,0.3333333333,0,0,0,0,0.3333333333
DA Miller,DJ Bravo,0.2307692308,0.5384615385,0.0769230769,0,0.0769230769,0,0.0769230769
KK Nair,AD Russell,0.4666666667,0.2,0.2,0,0.1333333333,0,0
PSP Handscomb,JJ Bumrah,0.75,0.25,0,0,0,0,0
F du Plessis,JJ Bumrah,0.5833333333,0.1666666667,0,0,0.0833333333,0.1666666667,0
JC Buttler,DJ Bravo,0.4285714286,0.2857142857,0.1428571429,0,0,0,0.1428571429
S Dhawan,CH Morris,0.5,0.375,0.125,0,0,0,0
AJ Finch,CJ Jordan,0.5714285714,0.4285714286,0,0,0,0,0
DA Miller,JP Faulkner,0,0.6,0.2,0,0.2,0,0
MS Dhoni,MM Sharma,0.3,0.3,0.1,0,0.2,0,0.1
DJ Bravo,A Nehra,0.25,0.25,0.25,0,0.25,0,0
CH Morris,MM Sharma,0.5,0.25,0.25,0,0,0,0
MC Henriques,MM Sharma,0.5,0,0,0,0,0,0.5
DJ Hooda,MP Stoinis,0,0.5,0,0,0.5,0,0
AT Rayudu,SM Boland,0,0.5,0.25,0,0.25,0,0
Sachin Baby,MJ McClenaghan,0,1,0,0,0,0,0
CH Morris,PP Chawla,0.5,0.1666666667,0,0,0.1666666667,0,0.1666666667
AD Nath,Mustafizur Rahman,0.6666666667,0.1666666667,0.1666666667,0,0,0,0
RV Uthappa,R Ashwin,0.3333333333,0,0,0,0.3333333333,0,0.3333333333
CH Morris,R Ashwin,0.4444444444,0.4444444444,0,0,0.1111111111,0,0
RA Jadeja,Mohammed Shami,0.4,0.3,0,0,0.1,0.1,0.1
MS Dhoni,A Mishra,0,1,0,0,0,0,0
GJ Maxwell,M Ashwin,0,0.5,0,0,0.25,0.25,0
Q de Kock,UT Yadav,0.6666666667,0,0,0,0.1666666667,0.1666666667,0
DA Miller,AD Russell,0.75,0,0,0,0,0,0.25
M Vohra,TG Southee,0.6,0.4,0,0,0,0,0
